date,text,likes,retweets
2010-06-04,"Rocket landed in the ocean. Not a good day. But we'll keep trying.",1200,340
2012-06-01,"Model S is finally here. The future of driving. No compromises.",8500,2100
2013-08-12,"Hyperloop concept published. LA to SF in 30 minutes. Open source design.",15000,5200
2014-10-24,"With artificial intelligence, we are summoning the demon.",32000,18000
2015-12-21,"Falcon 9 landed! Welcome back, baby! Historic day for SpaceX.",95000,42000
2016-07-20,"Neural lace is the way forward. Neuralink will bridge the gap between humans and AI.",12000,3800
2017-07-28,"Production hell is real. Model 3 is the hardest thing I've ever done.",28000,8500
2018-02-06,"Falcon Heavy launched successfully! My Roadster is now in orbit around the sun. How cool is that?",180000,65000
2018-08-07,"Am considering taking Tesla private at $420. Funding secured.",250000,120000
2019-01-07,"Cybertruck coming. It won't look like anything else on the road. That's the point.",45000,15000
2020-04-29,"FREE AMERICA NOW",320000,95000
2020-05-01,"Tesla stock price is too high imo",450000,180000
2020-07-22,"It's time to break up Amazon. Monopolies are wrong!",89000,32000
2021-01-29,"Gamestonk!!",220000,78000
2021-02-08,"Tesla has bought $1.5 billion worth of Bitcoin",380000,145000
2021-02-19,"Bitcoin is a good thing. I am a supporter.",195000,62000
2021-03-24,"You can now buy a Tesla with Bitcoin",290000,98000
2021-05-12,"Tesla has suspended vehicle purchases using Bitcoin. Concerned about rapidly increasing use of fossil fuels for Bitcoin mining.",420000,165000
2021-05-20,"Dogecoin is the people's crypto. No need to be a gigachad to own it.",310000,125000
2021-07-21,"The Boring Company is going to solve traffic. Not flying cars. Tunnels.",55000,18000
2022-04-14,"I made an offer to buy Twitter. Let's make it the platform for free speech.",650000,280000
2022-10-27,"The bird is freed.",1200000,480000
2022-10-28,"Let that sink in!",890000,350000
2023-03-09,"I used to be left of center, now the left has gone so far left it made me look right.",520000,210000
2023-07-12,"Introducing xAI. Our mission is to understand the true nature of the universe.",340000,145000
2023-11-04,"Grok is now live. Ask it anything. It's got a sense of humor too.",280000,98000
2024-01-29,"First Neuralink implant in a human. The future is here. Patient is recovering well.",890000,380000
2024-07-13,"I fully endorse President Trump for President.",1500000,620000
2024-10-10,"Robotaxi is coming. No steering wheel. No pedals. Just get in and go.",340000,135000
2025-01-20,"Time to make government efficient. DOGE will save taxpayers trillions.",720000,310000
2025-03-15,"Mars colony by 2050. That's the real mission. Everything else is a stepping stone.",280000,95000
